Date,Open
17-01-2014,551.48
21-01-2014,540.99
22-01-2014,550.9147
23-01-2014,549.94
24-01-2014,554
27-01-2014,550.07
28-01-2014,508.76
29-01-2014,503.95
30-01-2014,502.54
31-01-2014,495.18
03-02-2014,502.61
04-02-2014,505.85
05-02-2014,506.56
06-02-2014,510.06
07-02-2014,521.38
10-02-2014,518.66
11-02-2014,530.61
12-02-2014,536.95
13-02-2014,534.66
14-02-2014,542.47
18-02-2014,546
19-02-2014,544.75
20-02-2014,532.99
21-02-2014,532.7927
24-02-2014,523.15
25-02-2014,529.38
26-02-2014,523.61
27-02-2014,517.14
28-02-2014,529.08
03-03-2014,523.42
04-03-2014,531
05-03-2014,530.92
06-03-2014,532.79
07-03-2014,531.09
10-03-2014,528.36
11-03-2014,535.45
12-03-2014,534.51
13-03-2014,537.44
14-03-2014,528.79
17-03-2014,527.7
18-03-2014,525.9
19-03-2014,532.26
20-03-2014,529.89
21-03-2014,531.93
24-03-2014,538.42
25-03-2014,541.5
26-03-2014,546.52
27-03-2014,540.015
28-03-2014,538.32
31-03-2014,539.23
01-04-2014,537.76
02-04-2014,542.38
03-04-2014,541.39
04-04-2014,539.81
07-04-2014,528.02
08-04-2014,525.19
09-04-2014,522.64
10-04-2014,530.68
11-04-2014,519
14-04-2014,521.9
15-04-2014,520.27
16-04-2014,518.05
17-04-2014,520
21-04-2014,525.34
22-04-2014,528.31
23-04-2014,529.06
24-04-2014,568.21
25-04-2014,564.53
28-04-2014,572.8
29-04-2014,593.74
30-04-2014,592.64
01-05-2014,592
02-05-2014,592.34
05-05-2014,590.14
06-05-2014,601.8
07-05-2014,595.25
08-05-2014,588.25
09-05-2014,584.54
12-05-2014,587.49
13-05-2014,592
14-05-2014,592.43
15-05-2014,594.7
16-05-2014,588.63
19-05-2014,597.85
20-05-2014,604.51
21-05-2014,603.83
22-05-2014,606.6
23-05-2014,607.25
27-05-2014,615.88
28-05-2014,626.02
29-05-2014,627.85
30-05-2014,637.98
02-06-2014,633.96
03-06-2014,628.46
04-06-2014,637.44
05-06-2014,646.2
06-06-2014,649.9
09-06-2014,92.7
10-06-2014,94.73
11-06-2014,94.13
12-06-2014,94.04
13-06-2014,92.2
16-06-2014,91.51
17-06-2014,92.31
18-06-2014,92.27
19-06-2014,92.29
20-06-2014,91.85
23-06-2014,91.32
24-06-2014,90.75
25-06-2014,90.21
26-06-2014,90.37
27-06-2014,90.82
30-06-2014,92.1
01-07-2014,93.52
02-07-2014,93.865
03-07-2014,93.67
07-07-2014,94.14
08-07-2014,96.27
09-07-2014,95.44
10-07-2014,93.76
11-07-2014,95.36
14-07-2014,95.86
15-07-2014,96.8
16-07-2014,96.97
17-07-2014,95.03
18-07-2014,93.62
21-07-2014,94.99
22-07-2014,94.68
23-07-2014,95.42
24-07-2014,97.035
25-07-2014,96.85
28-07-2014,97.82
29-07-2014,99.33
30-07-2014,98.44
31-07-2014,97.16
01-08-2014,94.9
04-08-2014,96.37
05-08-2014,95.36
06-08-2014,94.75
07-08-2014,94.93
08-08-2014,94.26
11-08-2014,95.27
12-08-2014,96.04
13-08-2014,96.15
14-08-2014,97.33
15-08-2014,97.9
18-08-2014,98.49
19-08-2014,99.41
20-08-2014,100.44
21-08-2014,100.57
22-08-2014,100.29
25-08-2014,101.79
26-08-2014,101.42
27-08-2014,101.02
28-08-2014,101.59
29-08-2014,102.86
02-09-2014,103.06
03-09-2014,103.1
04-09-2014,98.85
05-09-2014,98.8
08-09-2014,99.3
09-09-2014,99.08
10-09-2014,98.01
11-09-2014,100.41
12-09-2014,101.21
15-09-2014,102.81
16-09-2014,99.8
17-09-2014,101.27
18-09-2014,101.93
19-09-2014,102.29
22-09-2014,101.8
23-09-2014,100.6
24-09-2014,102.16
25-09-2014,100.51
26-09-2014,98.53
29-09-2014,98.65
30-09-2014,100.81
01-10-2014,100.59
02-10-2014,99.27
03-10-2014,99.44
06-10-2014,99.95
07-10-2014,99.43
08-10-2014,98.76
09-10-2014,101.54
10-10-2014,100.69
13-10-2014,101.33
14-10-2014,100.39
15-10-2014,97.97
16-10-2014,95.55
17-10-2014,97.5
20-10-2014,98.315
21-10-2014,103.02
22-10-2014,102.84
23-10-2014,104.08
24-10-2014,105.18
27-10-2014,104.85
28-10-2014,105.4
29-10-2014,106.65
30-10-2014,106.959
31-10-2014,108.01
03-11-2014,108.22
04-11-2014,109.36
05-11-2014,109.1
06-11-2014,108.6
07-11-2014,108.75
10-11-2014,109.02
11-11-2014,108.7
12-11-2014,109.38
13-11-2014,111.8
14-11-2014,113.15
17-11-2014,114.27
18-11-2014,113.94
19-11-2014,115.44
20-11-2014,114.91
21-11-2014,117.51
24-11-2014,116.85
25-11-2014,119.07
26-11-2014,117.94
28-11-2014,119.27
01-12-2014,118.81
02-12-2014,113.5
03-12-2014,115.75
04-12-2014,115.77
05-12-2014,115.99
08-12-2014,114.1
09-12-2014,110.19
10-12-2014,114.41
11-12-2014,112.26
12-12-2014,110.46
